GridI,GridJ,GridK,x,y,Y_lm,u1976,v1976,T25_DeltaWhiteRatio_Q10000,T45_DeltaWhiteRatio_Q10000,T60_DeltaWhiteRatio_Q10000,T80_DeltaWhiteRatio_Q10000,T100_DeltaWhiteRatio_Q10000
1,27,15,0.155418604651163,0.460674418604651,4,0.0756547480910846,0.504556492010573,0,0,0,0,0
1,28,14,0.155067441860465,0.476453488372093,4,0.0737774615768896,0.510042205811003,0,0,0,0,0
1,29,13,0.154716279069767,0.492232558139535,4,0.0719831727648082,0.515285387831416,0,0,0,0,0
1,30,12,0.15436511627907,0.508011627906977,4,0.0702664965148339,0.520301774261589,0,0,0,0,0
1,31,11,0.154013953488372,0.523790697674419,4,0.0686225036965963,0.525105768762493,0,0,0,0,0
1,32,10,0.153662790697674,0.53956976744186,4,0.0670466739218119,0.529710580589189,0,0,0,0,0
1,33,9,0.153311627906977,0.555348837209302,4,0.0655348540367299,0.534128345882152,0,0,0,0,0
1,34,8,0.152960465116279,0.571127906976744,4,0.0640832215719793,0.538370234472317,0,0,0,0,0
1,35,7,0.152609302325581,0.586906976744186,4,0.0626882524725377,0.542446544178968,0,0,0,0,0
1,36,6,0.152258139534884,0.602686046511628,4,0.0613466925342675,0.546366784276484,0,0,0,0,0
1,37,5,0.151906976744186,0.61846511627907,4,0.060055532059651,0.550139749554089,0,0,0,0,0
1,38,4,0.151555813953488,0.634244186046512,4,0.0588119833172471,0.553773586182717,0,0,0,0,0
1,39,3,0.151204651162791,0.650023255813953,4,0.0576134604495619,0.557275850427241,0,0,0,0,0
1,40,2,0.150853488372093,0.665802325581395,4,0.0564575615245726,0.560653561094616,0,0,0,0,0
1,41,1,0.150502325581395,0.681581395348837,4,0.0553420524687399,0.56391324648404,0,0,0,0,0
1,42,0,0.150151162790698,0.697360465116279,4,0.0542648526553554,0.567060986499974,0,0,0,0,0
2,0,41,0.1777,0.0408790697674419,4,0.226719698779183,0.117350609814897,0,0,0,0,0
2,1,40,0.177348837209302,0.0566581395348837,4,0.213339152182488,0.15335115355887,0,-6,-357,-729,-1358
2,2,39,0.176997674418605,0.0724372093023256,4,0.201405437303762,0.185458976764372,0,234,408,589,800
2,3,38,0.176646511627907,0.0882162790697674,4,0.19069592287608,0.214273071901988,0,228,392,558,743
2,4,37,0.176295348837209,0.103995348837209,4,0.181031425634119,0.240275533999362,0,177,299,419,563
2,5,36,0.175944186046512,0.119774418604651,4,0.172266104407978,0.26385875072009,0,0,0,0,44
2,6,35,0.175593023255814,0.135553488372093,4,0.164280049563599,0.285345340575682,0,0,0,0,0
2,7,34,0.175241860465116,0.151332558139535,4,0.15697376479558,0.305002999737523,0,0,0,0,0
2,8,33,0.174890697674419,0.167111627906977,4,0.150264000519509,0.323055712351828,0,0,0,0,0
2,9,32,0.174539534883721,0.182890697674419,4,0.144080567783253,0.339692322754908,0,0,0,0,0
2,10,31,0.174188372093023,0.19866976744186,4,0.138363873656443,0.355073166541513,0,0,0,0,0
2,11,30,0.173837209302326,0.214448837209302,4,0.133062994424705,0.3693352546621,0,0,0,0,0
2,12,29,0.173486046511628,0.230227906976744,4,0.128134154479302,0.382596365991091,0,0,0,0,0
2,13,28,0.17313488372093,0.246006976744186,4,0.123539514623522,0.394958307405103,0,0,0,0,0
