wavelength_nm,R_W_nm,G_W_nm,B_W_nm,W_W_nm,RGB_target_W_nm
420.2,2.41699101196809e-08,5.55893420288535e-08,4.07336566357209e-06,3.88468878259375e-06,1.8417729687784e-06
420.4,3.58444139920449e-09,6.36795285074683e-08,4.17014043991132e-06,3.97964185099396e-06,1.87481934149913e-06
420.6,5.57130341858221e-09,8.04028402069093e-08,4.28627017151841e-06,4.07429538290078e-06,1.94029208968137e-06
420.8,4.49180685723363e-08,7.88887996334997e-08,4.38876117816991e-06,4.17813470060447e-06,2.01374381298429e-06
421,7.14204942779914e-08,6.64980193310074e-08,4.49235531698693e-06,4.29016134912711e-06,2.0693175177479e-06
421.2,3.1202240876542e-08,3.59058165253695e-08,4.59584917106164e-06,4.41466868487375e-06,2.05978165563412e-06
421.4,4.32116649672585e-09,2.57736214685108e-08,4.72712189875911e-06,4.53108853529923e-06,2.08869834355826e-06
421.6,4.70279665651029e-08,7.01269260712299e-08,4.90883785184377e-06,4.61695566340036e-06,2.23560575427012e-06
421.8,7.25743292142146e-08,1.04296137060849e-07,5.08533899832776e-06,4.72069513560626e-06,2.3591459510807e-06
422,3.55880062284397e-08,9.23305256998683e-08,5.22162596314125e-06,4.86696878987155e-06,2.38112910030016e-06
422.2,7.57943336873958e-10,6.0128469601607e-08,5.32602237989684e-06,4.99996299293051e-06,2.37480502460321e-06
422.4,0,1.86305836412907e-08,5.40675159746481e-06,5.1001080272159e-06,2.37665803676122e-06
422.6,7.53938207853304e-09,4.83385148925179e-09,5.56129038538062e-06,5.23519898572849e-06,2.43897499477239e-06
422.8,3.08384996304975e-08,3.21970658524689e-08,5.81390765128584e-06,5.42200991209734e-06,2.58867413932502e-06
423,3.18780442844936e-08,5.4981530091341e-08,6.00434837695238e-06,5.58405915501377e-06,2.69068623878228e-06
423.2,7.83285964672143e-09,5.96613825954397e-08,6.1030285633957e-06,5.70527158933328e-06,2.71923929734441e-06
423.4,1.38877600334055e-08,6.05256931666809e-08,6.26167902574665e-06,5.85094617061182e-06,2.7938266344325e-06
423.6,5.2682850963992e-08,6.24768792715034e-08,6.49805016339596e-06,6.02667424672576e-06,2.92808646483103e-06
423.8,7.80582751040337e-08,7.68038749414412e-08,6.73933525341896e-06,6.20290155032866e-06,3.06409611310388e-06
424,7.91455235280029e-08,9.58955572939482e-08,6.96297022879357e-06,6.37114121410819e-06,3.1777230636793e-06
424.2,4.65837252072288e-08,8.07032530036109e-08,7.13756596517348e-06,6.52170822477855e-06,3.21724757839454e-06
424.4,6.57218814232936e-09,5.28686600228451e-08,7.29661756649371e-06,6.66618466008359e-06,3.23432095954512e-06
424.6,3.76720646791376e-08,9.10749798585042e-08,7.55434935425727e-06,6.83941659875272e-06,3.40075793606188e-06
424.8,9.76337158781848e-08,1.56164751826901e-07,7.85791126926128e-06,7.0384086758522e-06,3.63040424631202e-06
425,7.60716118503642e-08,1.48080553643237e-07,8.06068701823323e-06,7.25127927714477e-06,3.69621614827305e-06
425.2,1.5280113819494e-08,9.84934792534639e-08,8.22635741254661e-06,7.47103921778498e-06,3.6831891970573e-06
425.4,0,6.42244633479967e-08,8.48057923432896e-06,7.68520781054884e-06,3.75552488268325e-06
425.6,0,4.53413732696114e-08,8.76889786850026e-06,7.89348551894298e-06,3.86653323637686e-06
425.8,0,5.15412546420707e-08,9.03254645606072e-06,8.11743897049046e-06,3.98661297752286e-06
426,0,5.89218281690083e-08,9.30401725352218e-06,8.34298995000261e-06,4.11104410906727e-06
426.2,0,2.74742972345556e-08,9.6007598060484e-06,8.5243093739929e-06,4.21579005555568e-06
426.4,0,2.09939640485643e-10,9.92126984250456e-06,8.72350114208796e-06,4.33422890598228e-06
426.6,0,2.35320030585714e-08,1.02470949703037e-05,8.98469696431186e-06,4.49501913479446e-06
426.8,2.16624807104723e-10,5.50493974341174e-08,1.05629919086131e-05,9.26106930220015e-06,4.65812180846556e-06
427,3.04161225005277e-09,6.82396151125498e-08,1.08347635603016e-05,9.51946945048587e-06,4.78942668099484e-06
427.2,4.60013416821411e-09,7.261705872163e-08,1.11185693810684e-05,9.76309246509838e-06,4.91805333580544e-06
427.4,2.17588820789595e-09,6.81218453118495e-08,1.14585346575348e-05,9.98554823417898e-06,5.06116776162248e-06
427.6,0,6.14878125554527e-08,1.18105341030795e-05,1.02201851539902e-05,5.20803537800778e-06
427.8,0,5.75485125269439e-08,1.21645392434707e-05,1.04947602729182e-05,5.35956375066011e-06
428,3.71880701796193e-09,6.10786124004771e-08,1.25626696704829e-05,1.07763245766917e-05,5.53910245477466e-06
428.2,1.75321292936386e-08,7.3598141044413e-08,1.30350108068123e-05,1.10698703402002e-05,5.76583823340851e-06
428.4,2.08356153642726e-08,6.67415433256758e-08,1.34180985224764e-05,1.13544300089074e-05,5.93027114119143e-06
428.6,7.85005288048255e-09,3.42700139546257e-08,1.36678075308543e-05,1.16200190330342e-05,6.00380010649474e-06
428.8,0,2.413582279945e-08,1.39987471805118e-05,1.18856080571609e-05,6.13438959091213e-06
429,0,4.34071540004829e-08,1.44450142838378e-05,1.21492001713318e-05,6.34458898118175e-06
