wavelength_nm,S_single_white_W_nm,S_RGB_target_W_nm,S_best_Ra_single_white_W_nm,S_best_Ra_RGB_point_W_nm,S_best_Ra_blend_W_nm,S_best_Rmin8_single_white_W_nm,S_best_Rmin8_RGB_point_W_nm,S_best_Rmin8_blend_W_nm
405.8,2.37306979953441e-07,5.35753303746688e-07,2.14621998333946e-07,7.64301742701834e-08,2.91052172604129e-07,2.17011669763566e-07,7.13159205217596e-08,2.88327590285326e-07
406,4.49823920093951e-07,7.76295817581187e-07,4.06823721105524e-07,1.049861516911e-07,5.11809872796624e-07,4.11353429293707e-07,9.75115706068763e-08,5.08864999900584e-07
406.2,7.17210442541339e-07,9.68791217804181e-07,6.48649856124739e-07,1.25777914769629e-07,7.74427770894368e-07,6.55872135485853e-07,1.16391529307331e-07,7.72263664793184e-07
406.4,6.47365946649789e-07,8.92474072080062e-07,5.8548203323216e-07,1.18013925187244e-07,7.03495958419404e-07,5.92000981421216e-07,1.09390832956366e-07,7.01391814377582e-07
406.6,2.43014454235953e-07,5.63130915291621e-07,2.19783875730863e-07,8.33279279294075e-08,3.03111803660271e-07,2.22231021189401e-07,7.79856447541213e-08,3.00216665943522e-07
406.8,3.55448815038674e-08,3.52656688389208e-07,3.21470253441347e-08,5.72863931592444e-08,8.94334185033791e-08,3.25049608242275e-08,5.39976438178505e-08,8.6502604642078e-08
407,1.02604821760616e-07,3.14214888045474e-07,9.27964777491261e-08,4.79269058467457e-08,1.40723383595872e-07,9.38297040417143e-08,4.49619684775517e-08,1.38791672519266e-07
407.2,2.82851471702781e-07,3.73235989850063e-07,2.55812737157831e-07,5.57597825298622e-08,3.11572519687693e-07,2.58661039727299e-07,5.22248987429883e-08,3.10885938470287e-07
407.4,4.52475877841381e-07,4.66556484705632e-07,4.0922216918894e-07,7.17478021552198e-08,4.8096997134416e-07,4.13778582481469e-07,6.73518733306798e-08,4.81130455812149e-07
407.6,2.90230832391281e-07,4.1443979896785e-07,2.62486679650815e-07,6.63425975172672e-08,3.28829277168082e-07,2.65409292075853e-07,6.24667695802691e-08,3.27876061656122e-07
407.8,3.07093824589613e-08,3.51532679381877e-07,2.77737681050798e-08,5.71038064565716e-08,8.48775745616514e-08,2.80830103106729e-08,5.38255392186065e-08,8.19085495292794e-08
408,3.49611625431559e-07,7.8479915525939e-07,3.16191060649045e-07,1.00738757788825e-07,4.16929818437871e-07,3.19711635193126e-07,9.31222058945211e-08,4.12833841087647e-07
408.2,8.5872986168272e-07,1.33475027622715e-06,7.7664095248921e-07,1.57719494485271e-07,9.34360446974481e-07,7.85288326521896e-07,1.44614049317739e-07,9.29902375839635e-07
408.4,7.39362937420685e-07,1.07476830400696e-06,6.68684718647622e-07,1.34295414145376e-07,8.02980132792998e-07,6.76130072711884e-07,1.23823881810944e-07,7.99953954522828e-07
408.6,4.03198467306257e-07,5.24974850209549e-07,3.64655353986768e-07,8.13052039169156e-08,4.45960557903684e-07,3.68715545802354e-07,7.6365241163026e-08,4.4508078696538e-07
408.8,4.53340646672065e-07,4.6805949908329e-07,4.10004271824837e-07,7.52137695179669e-08,4.85218041342804e-07,4.14569393303565e-07,7.08396968531056e-08,4.85409090156671e-07
409,6.84046557884621e-07,5.82925014100155e-07,6.18656220038106e-07,8.46154649437493e-08,7.03271684981855e-07,6.25544540458463e-07,7.90671236648047e-08,7.04611664123268e-07
409.2,1.00050871147331e-06,1.00781661813863e-06,9.0486667964445e-07,1.27151104879159e-07,1.03201778452361e-06,9.14941760804568e-07,1.17345487410193e-07,1.03228724821476e-06
409.4,1.16137012679431e-06,1.30166824978649e-06,1.05035080496514e-06,1.56885965234183e-07,1.20723677019932e-06,1.06204575389483e-06,1.44139585367414e-07,1.20618533926224e-06
409.6,7.58661695158776e-07,8.7018507167905e-07,6.86138642472047e-07,1.12991231729544e-07,7.99129874201591e-07,6.93778334224997e-07,1.04560388199721e-07,7.98338722424718e-07
409.8,3.41915182838475e-07,4.03323555950443e-07,3.09230347189566e-07,6.55168399104965e-08,3.74747187100062e-07,3.1267341887647e-07,6.17555895991546e-08,3.74429008475624e-07
410,3.18696139734619e-07,3.94781997623477e-07,2.88230891415743e-07,6.41293288136669e-08,3.5236022022941e-07,2.91440148303187e-07,6.04477340008514e-08,3.51887882304038e-07
410.2,4.33508614821719e-07,4.51046653121186e-07,3.92068051374943e-07,7.29151290116448e-08,4.64983180386587e-07,3.96433465116826e-07,6.87048891163048e-08,4.65138354233131e-07
410.4,6.04531063903258e-07,5.95141560552201e-07,5.46741882667418e-07,9.38137805828716e-08,6.40555663250289e-07,5.52829485366718e-07,8.82318333362367e-08,6.41061318702955e-07
410.6,6.50637655392542e-07,6.72640247488168e-07,5.88440988204636e-07,1.05442339516529e-07,6.93883327721165e-07,5.94992882364814e-07,9.91269727501129e-08,6.94119855114926e-07
410.8,4.40844737068686e-07,5.91616632335308e-07,3.98702888736132e-07,9.47761084986997e-08,4.93478997234831e-07,4.03142176924275e-07,8.92441238274811e-08,4.92386300751756e-07
411,3.46123724481135e-07,5.48826988427187e-07,3.13036580017596e-07,8.83074127234121e-08,4.01343992741008e-07,3.16522031544005e-07,8.31798373519088e-08,3.99701868895913e-07
411.2,5.10242435731049e-07,6.21195066412929e-07,4.6146662526683e-07,9.64746058807797e-08,5.5794123114761e-07,4.66604745397495e-07,9.06321968882048e-08,5.572369422857e-07
