wavelength_nm,R_component_W_nm,G_component_W_nm,B_component_W_nm,S_RGB_target_W_nm,S_single_white_W_nm
489.6,6.1894791783277e-09,7.98245807126035e-06,3.77635171956984e-06,1.17649992700085e-05,2.66161433270586e-05
489.8,5.29060294903162e-08,8.2132691019708e-06,3.71264270700856e-06,1.19788178384697e-05,2.67328871192009e-05
490,8.81886697533503e-08,8.43220237357796e-06,3.65525908926586e-06,1.21756501325972e-05,2.6833776816114e-05
490.2,8.40430446942389e-08,8.62033399869694e-06,3.60665821396912e-06,1.23110352573603e-05,2.68135988767314e-05
490.4,5.94803955280463e-08,8.75712954633563e-06,3.52888771220681e-06,1.23454976540705e-05,2.67862145304264e-05
490.6,2.20433571211877e-08,8.8353415702615e-06,3.40506469565021e-06,1.22624496230329e-05,2.67934209373488e-05
490.8,0,8.96478901269221e-06,3.29025195372728e-06,1.22550409664195e-05,2.67227981495096e-05
491,0,9.19268093311457e-06,3.21102524596357e-06,1.24037061790781e-05,2.65599333530642e-05
491.2,4.45278144865541e-09,9.4096010252127e-06,3.1684312204226e-06,1.2582485027084e-05,2.64936344093784e-05
491.4,1.93026184088815e-08,9.59390760926452e-06,3.15723663678683e-06,1.27704468644602e-05,2.65916415435226e-05
491.6,3.48209194789851e-08,9.86820331737005e-06,3.12956872276022e-06,1.30325929596093e-05,2.68164814395003e-05
491.8,4.69834518215252e-08,1.02249387263704e-05,3.06781648701332e-06,1.33397386652053e-05,2.70917661839346e-05
492,5.24478948871142e-08,1.04725598059813e-05,2.97998906255385e-06,1.35049967634222e-05,2.71883320366943e-05
492.2,4.92884695609229e-08,1.06044230638228e-05,2.87782711026808e-06,1.35315386436518e-05,2.70888836211657e-05
492.4,2.7859245909781e-08,1.0774536732336e-05,2.79241152699842e-06,1.35948075052442e-05,2.69793462359458e-05
492.6,5.9227569778334e-09,1.10161182734197e-05,2.73220651012801e-06,1.37542475405256e-05,2.69043996039532e-05
492.8,5.29347189370921e-08,1.13402401743738e-05,2.70913474629332e-06,1.41023096396042e-05,2.68770152576482e-05
493,1.30016986607339e-07,1.16855004601727e-05,2.69425414121651e-06,1.45097715879965e-05,2.68683675693413e-05
493.2,1.06034402193145e-07,1.18787656930397e-05,2.60497051075563e-06,1.45897706059885e-05,2.67718017165817e-05
493.4,2.13808102097077e-08,1.19844576172638e-05,2.47559570881869e-06,1.44814341362922e-05,2.66536166430549e-05
493.6,0,1.21767162603763e-05,2.39231892811359e-06,1.45690351884899e-05,2.66853248335133e-05
493.8,0,1.24394361863049e-05,2.35245528882524e-06,1.47918914751302e-05,2.68294529719606e-05
494,2.54314014763741e-08,1.27152417790422e-05,2.35372946907647e-06,1.50944026495951e-05,2.70384387727091e-05
494.2,5.76595122029911e-08,1.3019231884906e-05,2.36119252483365e-06,1.54380839219426e-05,2.72315704782285e-05
494.4,5.82593009496488e-08,1.3407775530149e-05,2.31459393278883e-06,1.57806287638875e-05,2.7284897889454e-05
494.6,4.59335973785711e-08,1.37912862266195e-05,2.24660731509843e-06,1.60838271390965e-05,2.72618373873024e-05
494.8,4.21896245743217e-08,1.40217952804036e-05,2.19796093336414e-06,1.62619458383421e-05,2.72358943223819e-05
495,4.43171263617939e-08,1.42251264108158e-05,2.15746020395018e-06,1.64269037411278e-05,2.72157163829993e-05
495.2,5.95978429507849e-08,1.45542812605424e-05,2.1241039852306e-06,1.67379830887238e-05,2.72315704782285e-05
495.4,6.62654496905365e-08,1.48935020078142e-05,2.08028128587595e-06,1.70400487433807e-05,2.72647199500714e-05
495.6,3.30018292443534e-08,1.51290440103709e-05,1.99800564679681e-06,1.7160051486412e-05,2.73021932660676e-05
