SingleWhiteRatio,RGBWhiteRatio,x,y,Y_lm,CCT_K,Ra,Rmin_8,R1,R2,R3,R4,R5,R6,R7,R8,Worst_R
0.543,0.457,0.308536134836034,0.316673457599406,2.39,6864.24942616996,70.6980765803276,39.389905278842,64.171356367445,90.8214984509516,79.6373363681692,57.291032727062,70.8042227736155,87.0664197253456,76.4028409511898,39.389905278842,R8
0.544,0.456,0.308535549380993,0.316672599945321,2.39,6864.29581204068,70.7864535689411,39.5690864061874,64.2810049004642,90.8632668713536,79.6715747404033,57.4095398625997,70.8997466503941,87.1250001614413,76.4724089586853,39.5690864061874,R8
0.545,0.455,0.308534963929124,0.316671742295882,2.39,6864.34219851227,70.8748244247537,39.7482894424257,64.3906515981061,90.9050265450732,79.7057894154091,57.5280465457795,70.9952720935678,87.1835456615173,76.5419740961511,39.7482894424257,R8
0.546,0.454,0.308534378480426,0.316670884651089,2.39,6864.38858867608,70.9631890286438,39.9275143625146,64.500296435841,90.9467773762811,79.7399802706385,57.6465527113708,71.0907990879389,87.2420556991755,76.6115362853897,39.9275143625146,R8
0.547,0.453,0.308533793034899,0.316670027010941,2.39,6864.43497641916,71.0515472953184,40.1067612191348,64.6099394235144,90.988519254876,79.7741472600991,57.765058355216,71.1863276406952,87.3005297124473,76.6810954965648,40.1067612191348,R8
0.548,0.452,0.308533207592543,0.316669169375438,2.39,6864.4813647744,71.1398991024659,40.2860299876531,64.7195805364966,91.0302520812493,79.8082902605765,57.8835634114501,71.2818577365745,87.3589671554209,76.7506516503063,40.2860299876531,R8
0.549,0.451,0.308532622153359,0.316668311744581,2.39,6864.52775377995,71.2282443375686,40.4653206686834,64.8292197612261,91.0719757498272,79.8424091733658,58.0020678337319,71.3773893675285,87.4173674637353,76.8202046824503,40.4653206686834,R8
0.55,0.45,0.308532036717345,0.31666745411837,2.39,6864.57414336949,71.3165828867139,40.6446332636785,64.9388570843716,91.1136901529413,79.8765039000439,58.1205715758854,71.4729225256508,87.4757300625209,76.889754528619,40.6446332636785,R8
0.551,0.449,0.308531451284502,0.316666596496803,2.39,6864.62053360325,71.4049146336681,40.8239677729667,65.0484924919509,91.155395181087,79.9105743405389,58.2390745903621,71.568457202625,87.5340543668437,76.9593011229708,40.8239677729667,R8
0.552,0.448,0.308530865854831,0.316665738879883,2.39,6864.6669244833,71.4932394605489,41.0033241973223,65.158125970032,91.1970907226336,79.9446203946678,58.3575768294527,71.6639933901598,87.5923397809457,77.0288443991775,41.0033241973223,R8
0.553,0.447,0.30853028042833,0.316664881267607,2.39,6864.71331600631,71.5815572475845,41.1827025375108,65.2677575045267,91.2387766638461,79.9786419616873,58.4760782449413,71.7595310798683,87.6505856981665,77.0983842901291,41.1827025375108,R8
0.554,0.446,0.308529695005,0.316664023659977,2.39,6864.7597081532,71.6698678731132,41.3621027943812,65.3773870812283,91.2804528888224,80.012638940387,58.5945787881516,71.8550702632846,87.7087915006691,77.1679207279816,41.3621027943812,R8
0.555,0.445,0.308529109584842,0.316663166056992,2.39,6864.80610091122,71.7581712134593,41.5415249686769,65.487014685726,91.3221192794722,80.0466112288939,58.713078409807,71.9506109318127,87.7669565592683,77.2374536440173,41.5415249686769,R8
0.556,0.444,0.308528524167854,0.316662308458652,2.39,6864.85249427438,71.8464671428862,41.7209690610259,65.5966403033993,91.3637757154658,80.0805587246608,58.8315770600078,72.046153076723,87.8250802331696,77.306982968637,41.7209690610259,R8
0.557,0.443,0.308527938754037,0.316661450864957,2.39,6864.89888831989,71.9347555332625,41.9004350713032,65.7062639191285,91.4054220742876,80.1144813238313,58.9500746877195,72.1416966889583,87.8831618699329,77.3765086309387,41.9004350713032,R8
0.558,0.442,0.308527353343391,0.316660593275907,2.39,6864.94528298113,72.0230362548919,42.0799230005427,65.8158855181471,91.4470582308714,80.1483789231303,59.0685712422716,72.2372417596906,87.9412008045676,77.4460305599135,42.0799230005427,R8
0.559,0.441,0.308526767935916,0.316659735691503,2.39,6864.99167824761,72.1113091756995,42.2594328492475,65.9255050852811,91.4886840578143,80.1822514181926,59.187066672029,72.3327882798351,87.9991963598292,77.5155486833674,42.2594328492475,R8
0.56,0.44,0.308526182531611,0.316658878111743,2.39,6865.03807415065,72.1995741612372,42.4389646175076,66.0351226050069,91.5302994252971,80.2160987036704,59.3055609244641,72.4283362400733,88.0571478458968,77.585062927981,42.4389646175076,R8
0.561,0.439,0.308525597130477,0.316658020536628,2.39,6865.08447065201,72.2878310750696,42.6185183059491,66.1447380618636,91.5719042008857,80.249920674164,59.4240539468958,72.5238856311291,88.1150545597756,77.654573219894,42.6185183059491,R8
0.562,0.438,0.308525011732515,0.316657162966159,2.39,6865.13086782398,72.3760797780287,42.7980939141979,66.2543514397724,91.6134982497012,80.2837172227121,59.5425456852845,72.619436443323,88.1729157855126,77.7240794837258,42.7980939141979,R8
0.563,0.437,0.308524426337722,0.316656305400334,2.39,6865.17726565507,72.4643201289158,42.9776914425311,66.3639627227635,91.6550814341002,80.317488242415,59.6610360855103,72.7149886670479,88.2307307933547,77.7935816436034,42.9776914425311,R8
0.564,0.436,0.308523840946101,0.316655447839154,2.39,6865.22366404166,72.5525519844842,43.1573108919466,66.4735718950044,91.696653613591,80.3512336265067,59.7795250934298,72.8105422927895,88.2884988394209,77.8630796231845,43.1573108919466,R8
0.565,0.435,0.30852325555765,0.316654590282619,2.39,6865.27006311319,72.6407751981263,43.3369522614038,66.5831789395774,91.738214645225,80.3849532656042,59.8980126526831,72.9060973103172,88.3462191662843,77.9325733439151,43.3369522614038,R8
0.566,0.434,0.30852267017237,0.316653732730729,2.39,6865.31646278093,72.7289896215697,43.5166155516485,66.6927838401649,91.7797643828958,80.4186470515131,60.0164987077105,73.0016537098032,88.4038910014095,78.0020627274118,43.5166155516485,R8
0.567,0.433,0.308522084790261,0.316652875183484,2.39,6865.36286312117,72.8171951033362,43.6963007619633,66.8023865796143,91.821302677804,80.4523148739899,60.1349832011743,73.0972114808628,88.4615135578692,78.0715476934116,43.6963007619633,R8
0.568,0.432,0.308521499411322,0.316652017640883,2.39,6865.4092640347,72.9053914900071,43.8760078930553,66.9119871412073,91.8628293779139,80.4859566236071,60.2534660762241,73.1927706134018,88.5190860330741,78.1410281615731,43.8760078930553,R8
0.569,0.431,0.308520914035553,0.316651160102927,2.39,6865.4556656088,72.9935786247609,44.0557369439811,67.0215855073002,91.9043443283741,80.5195721887005,60.3719472740748,73.2883310967173,88.5766076094239,78.2105040495155,44.0557369439811,R8
0.57,0.43,0.308520328662956,0.316650302569616,2.39,6865.50206782235,73.0817563484584,44.2354879146519,67.1311816604255,91.9458473710382,80.5531614578486,60.4904267359591,73.3838929202216,88.6340774531296,78.2799752743925,44.2354879146519,R8
0.571,0.429,0.308519743293528,0.316649445040949,2.39,6865.54847066164,73.1699244991327,44.4152608048458,67.2407755828529,91.9873383445462,80.5867243188925,60.608904402346,73.4794560731559,88.6914947141732,78.3494417522486,44.4152608048458,R8
0.572,0.428,0.308519157927272,0.316648587516927,2.39,6865.59487408849,73.2580829120509,44.5950556144802,67.3503672567078,92.0288170841927,80.6202606592044,60.7273802131433,73.5750205446647,88.7488585258416,78.4189033981724,44.5950556144802,R8
0.573,0.427,0.308518572564185,0.316647729997549,2.39,6865.64127817332,73.3462314191343,44.7748723424789,67.459956663467,92.0702834220346,80.6537703645518,60.8458541067984,73.6705863234627,88.8061680047078,78.4883601255736,44.7748723424789,R8
0.574,0.426,0.308517987204269,0.316646872482816,2.39,6865.68768290052,73.4343698496473,44.9547109884228,67.5695437846806,92.1117371865273,80.6872533207431,60.9643260215876,73.7661533983189,88.8634222497014,78.5578118471965,44.9547109884228,R8
0.575,0.425,0.308517401847524,0.316646014972727,2.39,6865.73408825385,73.5224980297999,45.1345715518284,67.6791286016554,92.1531782025631,80.7207094129005,61.0827958950294,73.8617217578328,88.9206203419348,78.6272584746549,45.1345715518284,R8
