Index,IntSig_u,IntSig_v,Target_u1976,Target_v1976,Target_x,Target_y,Target_Y_lm,ExactValid,S14Valid,ExactRa,S14Ra,RaDiff_ExactMinusS14,ExactWhiteRatio,S14UsedWhiteRatio,S14DistanceWeightedAverageWhiteRatio,S14LocalFitPredictedWhiteRatio,WhiteRatioDiff_ExactMinusS14,ExactRGBRatio,S14RGBRatio,S14OutputDeltaUv,S14LocalFitFallbackUsed,S14LocalFitConditionValue,ExactRGBPoint_x,ExactRGBPoint_y,ExactRGBPoint_Y_lm,S14RGBPoint_x,S14RGBPoint_y,S14RGBPoint_Y_lm,Exact_R_weight,Exact_G_weight,Exact_B_weight,S14_R_weight,S14_G_weight,S14_B_weight,S14NearestLutIndex0,S14CandidateCount,ErrorMessage
21,24,78,0.12,0.39,0.166666666666667,0.240740740740741,4,1,1,50.7509066516935,50.7509066516935,0,0,0,-7.87309715379626e-18,2.18527750999428e-18,0,1,1,0,0,3.04146063226491e-05,0.166666666666667,0.240740740740741,4,0.166666666666667,0.240740740740741,4,0.0592897381065424,0.719750064038669,0.357970778041496,0.0592897381065424,0.719750064038669,0.357970778041496,57,9,
22,22,84,0.11,0.42,0.166666666666667,0.282828282828283,4,1,1,49.9142354659983,49.9142354659983,0,0,0,0,0,0,1,1,0,0,6.43903751304904e-05,0.166666666666667,0.282828282828283,4,0.166666666666667,0.282828282828283,4,0.0530006243387928,0.738192604153174,0.275887846740245,0.0530006243387928,0.738192604153174,0.275887846740245,59,9,
23,21,91,0.105,0.455,0.176635514018692,0.34018691588785,4,1,1,53.9381518862827,53.8003819656634,0.137769920619235,0,0.00471162254814267,0.00439271275579512,0.00471162254814257,-0.00471162254814267,1,0.995288377451857,0,0,6.8990433269077e-05,0.176635514018692,0.34018691588785,4,0.175911758360567,0.340146636632156,3.98115350980743,0.0685587739575135,0.743945715697638,0.192601919052048,0.0666791215880251,0.74129842288642,0.192037825686065,96,9,
24,20,95,0.1,0.475,0.18,0.38,4,1,1,51.4289951213857,51.226776519795,0.202218601590666,0,0.00602890129417535,0.00675104000872097,0.00602890129417535,-0.00602890129417535,1,0.993971098705825,0,0,0.000129075731983263,0.18,0.38,4,0.178985695086812,0.380205454540331,3.9758843948233,0.0696930763537696,0.750759559274564,0.150891004476098,0.0672879094527249,0.747372134477155,0.150169201490085,98,9,
25,19,98,0.095,0.49,0.180761099365751,0.414376321353066,4,1,1,47.9872749455005,47.8758127087754,0.111462236725032,0,0.0029792090547041,0.00357232708235862,0.00297920905470411,-0.0029792090547041,1,0.997020790945296,0,0,0.000149079756616028,0.180761099365751,0.414376321353066,4,0.180218896548005,0.414608756216008,3.98808316378118,0.0666792723436966,0.7577142347756,0.122051782088789,0.0654907481566129,0.756040323371822,0.121695099853218,99,9,
26,17,105,0.085,0.525,0.186131386861314,0.510948905109489,4,1,1,39.1084013422535,39.1084013422535,0,0,0,0,0,0,1,1,0,0,0.000111954476528055,0.186131386861314,0.510948905109489,4,0.186131386861314,0.510948905109489,4,0.0650503709450553,0.769646951309833,0.0609083300539633,0.0650503709450553,0.769646951309833,0.0609083300539633,101,9,
27,15,112,0.075,0.56,0.193409742120344,0.641833810888253,4,1,1,11.1873454107508,11.1873454107508,-4.79616346638068e-14,0,1.2070829932605e-16,9.77306660968798e-17,1.0214506675734e-16,-1.2070829932605e-16,1,1,0,0,0.000243041674530829,0.193409742120344,0.641833810888253,4,0.193409742120344,0.641833810888253,4,0.0636250822212442,0.780088078277288,0.00740780952349112,0.0636250822212441,0.780088078277288,0.00740780952349108,104,9,
28,19,112,0.095,0.56,0.236842105263158,0.620498614958449,4,1,1,23.6994704416329,23.6864596740072,0.0130107676256692,0,0.00103684760984358,0.00108605720017696,0.00103684760984358,-0.00103684760984358,1,0.998963152390157,0,0,0.000189220002385236,0.236842105263158,0.620498614958449,4,0.236663616306361,0.621000311990559,3.99585260956063,0.116877786725765,0.74915759613781,0.00447550583031125,0.116464147253009,0.748575028413885,0.00435137049216122,137,9,
29,27,111,0.135,0.555,0.309160305343511,0.564885496183206,4,1,1,44.7612431587419,44.6424652674193,0.118777891322587,0.0498880269248498,0.0463632207814777,0.0387718241012853,0.0463632207814777,0.00352480614337204,0.95011197307515,0.953636779218522,0,0,0.000135596231083033,0.307024919490672,0.583861580256846,3.8004478923006,0.307188037605153,0.582412032836551,3.81454711687409,0.201274727053843,0.659248629146245,0,0.202680911473686,0.661229092111803,0.000422003193494161,230,9,
30,34,111,0.17,0.555,0.369565217391304,0.536231884057971,4,1,1,27.5560136389025,27.5560136389025,0,0.00664047396376273,0.00664047396376273,0.0193824915398954,0.00704822004133121,0,0.993359526036237,0.993359526036237,0,0,6.10885828557719e-05,0.369937449906778,0.538163249021594,3.97343810414495,0.369937449906778,0.538163249021594,3.97343810414495,0.312559686995021,0.628931901548795,0,0.312559686995021,0.628931901548795,0,314,9,
