颜色序号,层级,方法,目标xyY,RGB混色点,白色_RGB比例,RGB权重,Ra,RGB点距精确点_xy,白色比例差_相对精确,RGB比例差_相对精确,Ra差_相对精确,RGB点_x,RGB点_y,白色比例,RGB比例,R权重,G权重,B权重
15,2,网格法,"(0.2082, 0.0680, 1.2650)","(0.20496, 0.06071)","W=0.1305, RGB=0.8695","R=0.4705, G=0.0224, B=1.0535",-125.959346255875,0.0045319352256416,-0.071152512217944,0.0711525122179441,-2.50774189877201,0.204956910939114,0.0607138397921412,0.130484393584973,0.869515606415027,0.470503359475845,0.0224434187248744,1.05352278094276
15,3,纯RGB,"(0.2082, 0.0680, 1.2650)","(0.20820, 0.06800)","W=0.0000, RGB=1.0000","R=0.5107, G=0.0636, B=1.0648",-130.938885757346,0.0125072569891458,-0.201636905802917,0.201636905802917,-7.48728140024299,0.2082,0.068,0,1,0.51073493744486,0.0636017108357525,1.06482715077757
16,1,精确法,"(0.1486, 0.0288, 0.5840)","(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,2,网格法,"(0.1486, 0.0288, 0.5840)","(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,3,纯RGB,"(0.1486, 0.0288, 0.5840)","(0.14860, 0.02880)","W=0.0000, RGB=1.0000","R=NaN, G=NaN, B=NaN",NaN,NaN,NaN,NaN,NaN,0.1486,0.0288,0,1,NaN,NaN,NaN
17,1,精确法,"(0.1579, 0.1053, 1.7290)","(0.15790, 0.10530)","W=0.0000, RGB=1.0000","R=0.0532, G=0.4346, B=0.9436",21.0431109884352,0,0,0,0,0.1579,0.1053,0,1,0.0532144311469309,0.434588408120575,0.943552107374262
17,2,网格法,"(0.1579, 0.1053, 1.7290)","(0.15461, 0.10079)","W=0.0609, RGB=0.9391","R=0.0276, G=0.4083, B=0.9363",18.189092248877,0.00558398658866956,0.0608937647492952,-0.060893764749295,-2.8540187395582,0.154605362625036,0.100791533432537,0.0608937647492952,0.939106235250705,0.0275527096009237,0.408335581739467,0.936341612394991
17,3,纯RGB,"(0.1579, 0.1053, 1.7290)","(0.15790, 0.10530)","W=0.0000, RGB=1.0000","R=0.0532, G=0.4346, B=0.9436",21.0431109884352,0,0,0,0,0.1579,0.1053,0,1,0.0532144311469309,0.434588408120575,0.943552107374262
18,1,精确法,"(0.1586, 0.1409, 1.9570)","(0.15860, 0.14090)","W=0.0000, RGB=1.0000","R=0.0457, G=0.5529, B=0.7516",30.1965536923023,0,0,0,0,0.1586,0.1409,0,1,0.0456933104719527,0.552939534215026,0.751628055089942
18,2,网格法,"(0.1586, 0.1409, 1.9570)","(0.15692, 0.13895)","W=0.0235, RGB=0.9765","R=0.0345, G=0.5415, B=0.7485",29.0256502603095,0.00257287568206773,0.023457099236762,-0.023457099236762,-1.1709034319928,0.156924364744269,0.138947582072115,0.023457099236762,0.976542900763238,0.0345045210419179,0.541493016654041,0.748484200930946
18,3,纯RGB,"(0.1586, 0.1409, 1.9570)","(0.15860, 0.14090)","W=0.0000, RGB=1.0000","R=0.0457, G=0.5529, B=0.7516",30.1965536923024,0,0,0,9.9475983006414e-14,0.1586,0.1409,0,1,0.0456933104719526,0.552939534215026,0.751628055089942
19,1,精确法,"(0.1580, 0.1664, 2.0940)","(0.15800, 0.16640)","W=0.0000, RGB=1.0000","R=0.0353, G=0.6237, B=0.6518",31.2780645922979,0,0,0,0,0.158,0.1664,0,1,0.0352506577234565,0.623717356610741,0.651827494269171
19,2,网格法,"(0.1580, 0.1664, 2.0940)","(0.15409, 0.16244)","W=0.0456, RGB=0.9544","R=0.0120, G=0.5999, B=0.6453",28.8909755096433,0.00556872556668586,0.0456438035146735,-0.045643803514674,-2.3870890826546,0.154085890623903,0.162438882452008,0.0456438035146735,0.954356196485326,0.011954919668261,0.59988501295888,0.645281799274224
