GridI,GridJ,GridK,Target_u1976,Target_v1976,Best_RGBPoint_u1976,Best_RGBPoint_v1976,Best_Ra,Valid
1,94,55,0.0713606852178786,0.501747573217443,0.0713606852178786,0.501747573217443,23.0395042739407,1
1,95,54,0.0708365195564932,0.503374441944311,0.0708365195564932,0.503374441944311,22.6678587176207,1
1,96,53,0.070319258917878,0.504979879344348,0.070319258917878,0.504979879344348,22.2939390460813,1
1,97,52,0.0698087677513396,0.506564306130317,0.0698087677513396,0.506564306130317,21.917356447392,1
1,98,51,0.069304914031066,0.5081281320747,0.069304914031066,0.5081281320747,21.5377205783029,1
1,99,50,0.0688075691422899,0.50967175636302,0.0688075691422899,0.50967175636302,21.1546269116587,1
1,100,49,0.0683166077718353,0.511195567933549,0.0683166077718353,0.511195567933549,20.7676611942687,1
1,101,48,0.0678319078028511,0.51269994580403,0.0678319078028511,0.51269994580403,20.3764020418477,1
1,102,47,0.0673533502135477,0.514185259385972,0.0673533502135477,0.514185259385972,19.9804102163156,1
1,103,46,0.0668808189797584,0.51565186878707,0.0668808189797584,0.51565186878707,19.5792356289812,1
1,104,45,0.0664142009811594,0.517100125102274,0.0664142009811594,0.517100125102274,19.1724106828522,1
1,105,44,0.0659533859109877,0.518530370694003,0.0659533859109877,0.518530370694003,18.7594486203237,1
1,106,43,0.0654982661891079,0.519942939461958,0.0654982661891079,0.519942939461958,18.3398496759248,1
1,107,42,0.0650487368782807,0.521338157103004,0.0650487368782807,0.521338157103004,17.9130868432272,1
1,108,41,0.0646046956034999,0.522716341361527,0.0646046956034999,0.522716341361527,17.4786146073091,1
1,109,40,0.0641660424742643,0.524077802270679,0.0641660424742643,0.524077802270679,17.0358603625948,1
1,110,39,0.063732680009663,0.525422842384897,0.063732680009663,0.525422842384897,16.5842245908893,1
1,111,38,0.0633045130661547,0.526751757004048,0.0633045130661547,0.526751757004048,16.1230810290888,1
1,112,37,0.0628814487679291,0.528064834389581,0.0628814487679291,0.528064834389581,15.6517683258407,1
1,113,36,0.0624633964397435,0.529362355972971,0.0624633964397435,0.529362355972971,15.1695915084642,1
1,114,35,0.0620502675421322,0.530644596556822,0.0620502675421322,0.530644596556822,14.6758199015298,1
1,115,34,0.0616419756088914,0.531911824508891,0.0616419756088914,0.531911824508891,14.1696784959156,1
1,116,33,0.0612384361867478,0.533164301949341,0.0612384361867478,0.533164301949341,13.650349303183,1
1,117,32,0.060839566777121,0.534402284931499,0.060839566777121,0.534402284931499,13.1169680376323,1
1,118,31,0.0604452867798966,0.535626023616362,0.0604452867798966,0.535626023616362,12.5686173600831,1
1,119,30,0.0600555174391289,0.536835762441128,0.0600555174391289,0.536835762441128,12.0043193499566,1
1,120,29,0.0596701817905967,0.538031740281965,0.0596701817905967,0.538031740281965,11.423040890323,1
1,121,28,0.0592892046111385,0.539214190611262,0.0592892046111385,0.539214190611262,10.8236759097166,1
1,122,27,0.0589125123696971,0.540383341649571,0.0589125123696971,0.540383341649571,10.2050482466899,1
1,123,26,0.0585400331800072,0.541539416512457,0.0585400331800072,0.541539416512457,9.56590140869654,1
1,124,25,0.0581716967548613,0.54268263335244,0.0581716967548613,0.54268263335244,8.90489132739395,1
1,125,24,0.057807434361893,0.543813205496232,0.057807434361893,0.543813205496232,8.22058244625208,1
