颜色序号,目标xyY,层级,方法,RGB混色点,白色_RGB比例,RGB权重,Ra,RGB点距精确点_xy,白色比例差_相对精确,RGB比例差_相对精确,Ra差_相对精确
,"",3,纯RGB,"(0.18080, 0.41440)","W=0.0000, RGB=1.0000","R=0.0825, G=0.9855, B=0.1921",43.2029873030783,0,0,0,-1.24095459597129e-06
26,"(0.1861, 0.5109, 3.1060)",1,精确法,"(0.18610, 0.51090)","W=0.0000, RGB=1.0000","R=0.0816, G=1.0633, B=0.1084",35.3306427986179,0,0,0,0
,"",2,网格法,"(0.18242, 0.51531)","W=0.0167, RGB=0.9833","R=0.0689, G=1.0503, B=0.1049",34.5211706758417,0.00574767490446824,0.0166835165558323,-0.016683516555832,-0.809472122776199
,"",3,纯RGB,"(0.18610, 0.51090)","W=0.0000, RGB=1.0000","R=0.0816, G=1.0633, B=0.1084",35.3306427986179,0,0,0,0
27,"(0.1934, 0.6418, 3.2690)",1,精确法,"(0.19340, 0.64180)","W=0.0000, RGB=1.0000","R=0.0807, G=1.1364, B=0.0263",15.6641427002602,0,0,0,0
,"",2,网格法,"(0.18209, 0.66700)","W=0.0407, RGB=0.9593","R=0.0483, G=1.1033, B=0.0172",13.7711258386572,0.0276197310457022,0.0407018824536639,-0.040701882453664,-1.893016861603
,"",3,纯RGB,"(0.19340, 0.64180)","W=0.0000, RGB=1.0000","R=0.0807, G=1.1364, B=0.0263",15.6641427002602,0,0,0,0
28,"(0.2368, 0.6205, 3.2180)",1,精确法,"(0.23680, 0.62050)","W=0.0000, RGB=1.0000","R=0.1901, G=1.0753, B=0.0206",31.7801878265271,0,0,0,0
,"",2,网格法,"(0.22897, 0.64437)","W=0.0428, RGB=0.9572","R=0.1565, G=1.0410, B=0.0112",30.2541858671319,0.0251197717874506,0.0428329775844538,-0.042832977584454,-1.5260019593952
,"",3,纯RGB,"(0.23680, 0.62050)","W=0.0000, RGB=1.0000","R=0.1901, G=1.0753, B=0.0206",31.7801878265271,0,0,0,0
29,"(0.3092, 0.5649, 3.1110)",1,精确法,"(0.30529, 0.60927)","W=0.0988, RGB=0.9012","R=0.3189, G=0.8785, B=0.0000",54.682282878146,0,0,0,0
,"",2,网格法,"(0.30680, 0.59218)","W=0.0649, RGB=0.9351","R=0.3447, G=0.9049, B=0.0072",54.2175273291862,0.0171592364008547,-0.0339691361326436,0.033969136132644,-0.464755548959801
,"",3,纯RGB,"(0.30920, 0.56490)","W=0.0000, RGB=1.0000","R=0.3938, G=0.9552, B=0.0211",52.9714340231462,0.0445409521544912,-0.0988453677739882,0.098845367773988,-1.7108488549998
30,"(0.3696, 0.5362, 3.0010)",1,精确法,"(0.37355, 0.55536)","W=0.0562, RGB=0.9438","R=0.5212, G=0.8079, B=0.0000",43.9056553306559,0,0,0,0
,"",2,网格法,"(0.37163, 0.54607)","W=0.0302, RGB=0.9698","R=0.5401, G=0.8273, B=0.0053",42.3130165385313,0.00948865974008897,-0.0259563274717776,0.025956327471778,-1.5926387921246
,"",3,纯RGB,"(0.36960, 0.53620)","W=0.0000, RGB=1.0000","R=0.5623, G=0.8499, B=0.0116",40.4230166160722,0.0195640268872322,-0.0562023980225661,0.056202398022566,-3.48263871458369
