Index,Target xyY,Method,Ra,RGB Point,White_RGB Ratio,RGB Weights,RaDiff_ExactMinusMethod,Note,WhiteRatio,RGBRatio,BestApproxSource
,,RatioK,22.0914768479842,"(0.15731, 0.47670)","W=0.0000, RGB=1.0000","R=0.0000, G=1.4019, B=0.1939",0,Compare to Exact,1.58136862398298e-16,1,Ratio1
,,PureRGB,22.0914768479842,"(0.15731, 0.47670)","W=0.0000, RGB=1.0000","R=0.0000, G=1.4019, B=0.1939",0,Compare to Exact,0,1,Ratio1
22,"(0.1584, 0.5432, 4.0000)",Exact,17.3959954497973,"(0.15843, 0.54322)","W=0.0000, RGB=1.0000","R=0.0000, G=1.4141, B=0.1242",0,Compare to Exact,1.38772584456808e-16,1,Ratio1
,,Projection1,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,ProjectionK,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,Ratio1,17.3959950139776,"(0.15843, 0.54322)","W=0.0000, RGB=1.0000","R=0.0000, G=1.4141, B=0.1242",4.35819700328466e-07,Compare to Exact,0,1,Ratio1
,,RatioK,17.3959950139776,"(0.15843, 0.54322)","W=0.0000, RGB=1.0000","R=0.0000, G=1.4141, B=0.1242",4.35819700328466e-07,Compare to Exact,0,1,Ratio1
,,PureRGB,17.3959950139776,"(0.15843, 0.54322)","W=0.0000, RGB=1.0000","R=0.0000, G=1.4141, B=0.1242",4.35819700328466e-07,Compare to Exact,0,1,Ratio1
23,"(0.1598, 0.6237, 4.0000)",Exact,8.59880640954232,"(0.15978, 0.62365)","W=0.0000, RGB=1.0000","R=0.0000, G=1.4253, B=0.0597",0,Compare to Exact,1.20874669418626e-16,1,Ratio1
,,Projection1,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,ProjectionK,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,Ratio1,8.59880640954232,"(0.15978, 0.62365)","W=0.0000, RGB=1.0000","R=0.0000, G=1.4253, B=0.0597",0,Compare to Exact,1.20874669418626e-16,1,Ratio1
,,RatioK,8.59880640954232,"(0.15978, 0.62365)","W=0.0000, RGB=1.0000","R=0.0000, G=1.4253, B=0.0597",0,Compare to Exact,1.20874669418626e-16,1,Ratio1
,,PureRGB,8.59880589458034,"(0.15978, 0.62365)","W=0.0000, RGB=1.0000","R=0.0000, G=1.4253, B=0.0597",5.14961980613293e-07,Compare to Exact,0,1,Ratio1
24,"(0.1614, 0.7229, 4.0000)",Exact,-23.0538896546135,"(0.16144, 0.72288)","W=-0.0000, RGB=1.0000","R=0.0000, G=1.4358, B=0.0000",0,Compare to Exact,-4.17130531229685e-16,1,Proj1
,,Projection1,-23.0538896546135,"(0.16144, 0.72288)","W=-0.0000, RGB=1.0000","R=0.0000, G=1.4358, B=0.0000",0,Compare to Exact,-4.17130531229685e-16,1,Proj1
,,ProjectionK,-23.0538896546135,"(0.16144, 0.72288)","W=-0.0000, RGB=1.0000","R=0.0000, G=1.4358, B=0.0000",0,Compare to Exact,-4.17130531229685e-16,1,Proj1
