序号,目标_x,目标_y,目标_Y,精确法_RGB点_x,精确法_RGB点_y,精确法_RayT,精确法_白色比例,精确法_RGB比例,精确法_R权重,精确法_G权重,精确法_B权重,网格法_RGB点_x,网格法_RGB点_y,网格法_RayT,网格法_白色比例,网格法_RGB比例,网格法_R权重,网格法_G权重,网格法_B权重,纯RGB点_x,纯RGB点_y,纯RGB_白色比例,纯RGB_RGB比例,纯RGB_R权重,纯RGB_G权重,纯RGB_B权重,纯RGB_Ra
21,0.1667,0.2407,2.449,0.1667,0.2407,1,0,1,0.064560309431086,0.774538916108966,0.450514650206311,0.163069586541594,0.238490617824568,1.02236232997082,0.0308514076321183,0.969148592367882,0.0461448847370452,0.755699301379289,0.445340237918364,0.1667,0.2407,0,1,0.064560309431086,0.774538916108966,0.450514650206311,45.4163194716924
22,0.1667,0.2828,2.586,0.1667,0.2828,1,0,1,0.0549533628232284,0.841748541602287,0.369238351193312,0.15652248220227,0.279245484574818,1.06269065875948,0.0708199192375747,0.929180080762425,0.0103156516784221,0.796082623256407,0.35669593499108,0.1667,0.2828,0,1,0.0549533628232284,0.841748541602287,0.369238351193312,44.1596231094779
23,0.1766,0.3402,2.772,0.1766,0.3402,1,0,1,0.0835921579177166,0.912651950238645,0.279791935839944,0.158843458371615,0.340281618291826,1.11647831298753,0.104111650858771,0.895888349141229,0.0132508355139141,0.840690350890222,0.260027254381662,0.1766,0.3402,0,1,0.0835921579177166,0.912651950238645,0.279791935839944,49.2828223608565
24,0.18,0.38,2.872,0.18,0.38,1,0,1,0.0873561447358813,0.95576743007527,0.229780962955079,0.159646692060571,0.385530700864467,1.13655809880998,0.107344818517067,0.892655181482934,0.012214016478913,0.878894440728065,0.208667339009106,0.18,0.38,0,1,0.0873561447358813,0.95576743007527,0.229780962955079,46.7380323446331
25,0.1808,0.4144,2.931,0.1808,0.4144,1,0,1,0.0825003408613666,0.985469897630069,0.192084073208606,0.157237737716327,0.426304818365985,1.15894131458836,0.112355534660832,0.887644465339168,0.00223496218127566,0.903355646365808,0.169530905489732,0.1808,0.4144,0,1,0.0825003408613666,0.985469897630068,0.192084073208606,43.2029873030783
26,0.1861,0.5109,3.106,0.1861,0.5109,1,0,1,0.0815548904236282,1.0632687959084,0.108406080375115,0.183503593862033,0.514013265476995,1.01816366662911,0.0118546541002908,0.988145345899709,0.0725804308066118,1.05408761413276,0.105884414169122,0.1861,0.5109,0,1,0.0815548904236282,1.0632687959084,0.108406080375115,35.3306427986179
27,0.1934,0.6418,3.269,0.1934,0.6418,1,0,1,0.0806906004951592,1.13644555187531,0.0263458406801941,0.191555600257545,0.645910458772742,1.01359725116917,0.00709618362399396,0.992903816376006,0.0750365753532684,1.13066128911109,0.0247571584935689,0.1934,0.6418,0,1,0.0806906004951592,1.13644555187531,0.0263458406801941,15.6641427002602
28,0.2368,0.6205,3.218,0.2368,0.6205,1,0,1,0.19005764336589,1.07533456740813,0.0205913329315851,0.227928882676489,0.647523568948946,1.09616903925481,0.0480015014469296,0.95199849855307,0.152408176434712,1.03681786396275,0.0100124911421592,0.2368,0.6205,0,1,0.19005764336589,1.07533456740813,0.0205913329315851,31.7801878265271
29,0.3092,0.5649,3.111,0.305293574657899,0.60926931664873,1.19684638678445,0.0988453677739882,0.901154632226012,0.318893201044141,0.878538136572097,0,0.306950434949918,0.590450639085127,1.11335651219873,0.0611898668700735,0.938810133129926,0.347445850270458,0.907748481697045,0.00802279510056102,0.3092,0.5649,0,1,0.39384366102869,0.955215042664733,0.0210597685133399,52.9714340231462
30,0.3696,0.5362,3.001,0.373550539694032,0.555361012086271,1.09741200954329,0.0562023980225661,0.943797601977434,0.521156019137153,0.807870239116014,0,0.372556616164026,0.550540257899178,1.07290394333235,0.0430231525499395,0.956976847450061,0.530795963165987,0.817732234401827,0.00270865568764515,0.3696,0.5362,0,1,0.56226519889627,0.849926348132354,0.0115509605902184,40.4230166160722
