序号,目标xyY,方法,Ra,RGB点,白色_RGB比例,RGB权重,Ra差_精确减当前,说明,白色比例,RGB比例,该目标近似最优来源
,,投影1点,48.4942357139514,"(0.64835, 0.27823)","W=0.0759, RGB=0.9241","R=1.4950, G=0.0301, B=0.0354",7.7853154416765,对比精确法,0.0759424265086434,0.924057573491357,Ratio1
,,投影K点,48.5801924623529,"(0.64854, 0.27820)","W=0.0766, RGB=0.9234","R=1.4946, G=0.0298, B=0.0353",7.699358693275,对比精确法,0.0766319974525067,0.923368002547493,Ratio1
,,同比例,55.9709922096916,"(0.66648, 0.27476)","W=0.1365, RGB=0.8635","R=1.4667, G=0.0012, B=0.0275",0.308558945936298,对比精确法,0.136525326195587,0.863474673804413,Ratio1
,,纯RGB,38.9758759889477,"(0.62820, 0.28210)","W=0.0000, RGB=1.0000","R=1.5304, G=0.0664, B=0.0454",17.3036751666802,对比精确法,0,1,Ratio1
14,"(0.5211, 0.2316, 1.8350)",精确法,26.5455525586195,"(0.54598, 0.21762)","W=0.1681, RGB=0.8319","R=1.3108, G=0.0000, B=0.1310",0,基准,0.168122615105962,0.831877384894038,Ratio1
,,投影1点,22.0506605637548,"(0.53860, 0.22177)","W=0.1224, RGB=0.8776","R=1.3312, G=0.0209, B=0.1367",4.4948919948647,对比精确法,0.122387959533931,0.877612040466069,Ratio1
,,投影K点,21.2768012604384,"(0.53738, 0.22245)","W=0.1146, RGB=0.8854","R=1.3347, G=0.0245, B=0.1377",5.2687512981811,对比精确法,0.114552074660014,0.885447925339986,Ratio1
,,同比例,25.6360345917988,"(0.54444, 0.21849)","W=0.1588, RGB=0.8412","R=1.3149, G=0.0043, B=0.1321",0.909517966820701,对比精确法,0.158830044528206,0.841169955471794,Ratio1
,,纯RGB,9.8885671071531,"(0.52110, 0.23160)","W=0.0000, RGB=1.0000","R=1.3860, G=0.0769, B=0.1521",16.6569854514664,对比精确法,0,1,Ratio1
15,"(0.2082, 0.0680, 1.2650)",精确法,-123.451604357103,"(0.20311, 0.05657)","W=0.2016, RGB=0.7984","R=0.4486, G=0.0000, B=1.0474",0,基准,0.201636905802916,0.798363094197084,Ratio1
,,投影1点,-125.338922950339,"(0.20452, 0.05972)","W=0.1477, RGB=0.8523","R=0.4652, G=0.0170, B=1.0520",1.887318593236,对比精确法,0.147710744097973,0.852289255902027,Ratio1
,,投影K点,-125.364427749302,"(0.20453, 0.05976)","W=0.1470, RGB=0.8530","R=0.4654, G=0.0172, B=1.0521",1.912823392199,对比精确法,0.14699788276748,0.85300211723252,Ratio1
,,同比例,-123.92605226368,"(0.20348, 0.05738)","W=0.1879, RGB=0.8121","R=0.4528, G=0.0043, B=1.0486",0.474447906577012,对比精确法,0.187856293454061,0.812143706545939,Ratio1
,,纯RGB,-130.938885757346,"(0.20820, 0.06800)","W=0.0000, RGB=1.0000","R=0.5107, G=0.0636, B=1.0648",7.48728140024299,对比精确法,0,1,Ratio1
16,"(0.1486, 0.0288, 0.5840)",精确法,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,基准,NaN,NaN,Invalid
,,投影1点,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,对比精确法,NaN,NaN,Invalid
,,投影K点,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,对比精确法,NaN,NaN,Invalid
,,同比例,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,对比精确法,NaN,NaN,Invalid
,,纯RGB,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,对比精确法,NaN,NaN,Invalid
17,"(0.1579, 0.1053, 1.7290)",精确法,21.0431109884352,"(0.15790, 0.10530)","W=0.0000, RGB=1.0000","R=0.0532, G=0.4346, B=0.9436",0,基准,0,1,PureRGB
,,投影1点,17.2067664566227,"(0.15346, 0.09922)","W=0.0816, RGB=0.9184","R=0.0188, G=0.3994, B=0.9339",3.8363445318125,对比精确法,0.0815828256371343,0.918417174362866,PureRGB
,,投影K点,17.0469791335237,"(0.15327, 0.09896)","W=0.0849, RGB=0.9151","R=0.0174, G=0.3980, B=0.9335",3.9961318549115,对比精确法,0.0849361558276083,0.915063844172392,PureRGB
